Dataset,Horizon,Model,MSE,MAE
ETTm1,Avg,GPT4TS,0.464,0.441
ETTm1,96,DLinear,0.352,0.392
ETTm1,192,DLinear,0.382,0.412
ETTm1,336,DLinear,0.419,0.434
ETTm1,720,DLinear,0.490,0.477
ETTm1,Avg,DLinear,0.411,0.429
ETTm1,96,PatchTST,0.410,0.419
ETTm1,192,PatchTST,0.437,0.434
ETTm1,336,PatchTST,0.476,0.454
ETTm1,720,PatchTST,0.681,0.556
ETTm1,Avg,PatchTST,0.501,0.466
ETTm1,96,TimesNet,0.583,0.501
ETTm1,192,TimesNet,0.630,0.528
ETTm1,336,TimesNet,0.725,0.568
ETTm1,720,TimesNet,0.769,0.549
ETTm1,Avg,TimesNet,0.677,0.537
ETTm1,96,FEDformer,0.578,0.518
ETTm1,192,FEDformer,0.617,0.546
ETTm1,336,FEDformer,0.998,0.775
ETTm1,720,FEDformer,0.693,0.579
ETTm1,Avg,FEDformer,0.722,0.605
ETTm1,96,Autoformer,0.774,0.614
ETTm1,192,Autoformer,0.754,0.592
ETTm1,336,Autoformer,0.869,0.677
ETTm1,720,Autoformer,0.810,0.630
ETTm1,Avg,Autoformer,0.802,0.628
ETTm1,96,Stationary,0.761,0.568
ETTm1,192,Stationary,0.781,0.574
ETTm1,336,Stationary,0.803,0.587
ETTm1,720,Stationary,0.844,0.581
ETTm1,Avg,Stationary,0.797,0.578
ETTm1,96,ETSformer,0.911,0.688
ETTm1,192,ETSformer,0.955,0.703
ETTm1,336,ETSformer,0.991,0.719
ETTm1,720,ETSformer,1.062,0.747
ETTm1,Avg,ETSformer,0.980,0.714
ETTm1,96,LightTS,0.921,0.682
ETTm1,192,LightTS,0.957,0.701
ETTm1,336,LightTS,0.998,0.716
ETTm1,720,LightTS,1.007,0.719
ETTm1,Avg,LightTS,0.971,0.705
ETTm1,96,Informer,1.162,0.785
ETTm1,192,Informer,1.172,0.793
ETTm1,336,Informer,1.227,0.908
ETTm1,720,Informer,1.207,0.797
ETTm1,Avg,Informer,1.192,0.821
ETTm1,96,Reformer,1.442,0.847
ETTm1,192,Reformer,1.444,0.862
ETTm1,336,Reformer,1.450,0.866
ETTm1,720,Reformer,1.366,0.850
ETTm1,Avg,Reformer,1.426,0.856
ETTm2,96,RDTU,0.174,0.260
ETTm2,192,RDTU,0.236,0.308
ETTm2,336,RDTU,0.272,0.323
ETTm2,720,RDTU,0.413,0.384
ETTm2,Avg,RDTU,0.274,0.319
ETTm2,96,Time-LLM,0.177,0.261
ETTm2,192,Time-LLM,0.241,0.314
ETTm2,336,Time-LLM,0.274,0.327
ETTm2,720,Time-LLM,0.417,0.390
ETTm2,Avg,Time-LLM,0.277,0.323
ETTm2,96,GPT4TS,0.188,0.269
ETTm2,192,GPT4TS,0.251,0.309
ETTm2,336,GPT4TS,0.307,0.346
ETTm2,720,GPT4TS,0.426,0.417
ETTm2,Avg,GPT4TS,0.293,0.335
ETTm2,96,DLinear,0.213,0.303
ETTm2,192,DLinear,0.278,0.345
ETTm2,336,DLinear,0.338,0.385
ETTm2,720,DLinear,0.436,0.440
ETTm2,Avg,DLinear,0.316,0.368
ETTm2,96,PatchTST,0.191,0.274
ETTm2,192,PatchTST,0.252,0.317
ETTm2,336,PatchTST,0.306,0.353
ETTm2,720,PatchTST,0.433,0.427
ETTm2,Avg,PatchTST,0.296,0.343
ETTm2,96,TimesNet,0.212,0.285
ETTm2,192,TimesNet,0.270,0.323
ETTm2,336,TimesNet,0.323,0.353
ETTm2,720,TimesNet,0.474,0.449
ETTm2,Avg,TimesNet,0.320,0.353
ETTm2,96,FEDformer,0.291,0.399
ETTm2,192,FEDformer,0.307,0.379
ETTm2,336,FEDformer,0.543,0.559
ETTm2,720,FEDformer,0.712,0.614
ETTm2,Avg,FEDformer,0.463,0.488
ETTm2,96,Autoformer,0.352,0.454
ETTm2,192,Autoformer,0.694,0.691
ETTm2,336,Autoformer,2.408,1.407
ETTm2,720,Autoformer,1.913,1.166
ETTm2,Avg,Autoformer,1.342,0.930
ETTm2,96,Stationary,0.229,0.308
ETTm2,192,Stationary,0.291,0.343
ETTm2,336,Stationary,0.348,0.376
ETTm2,720,Stationary,0.461,0.438
ETTm2,Avg,Stationary,0.332,0.366
ETTm2,96,ETSformer,0.331,0.430
ETTm2,192,ETSformer,0.400,0.464
ETTm2,336,ETSformer,0.469,0.498
ETTm2,720,ETSformer,0.589,0.557
ETTm2,Avg,ETSformer,0.447,0.487
ETTm2,96,LightTS,0.813,0.688
ETTm2,192,LightTS,1.008,0.768
ETTm2,336,LightTS,1.031,0.775
ETTm2,720,LightTS,1.096,0.791
ETTm2,Avg,LightTS,0.987,0.756
ETTm2,96,Informer,3.203,1.407
ETTm2,192,Informer,3.112,1.387
ETTm2,336,Informer,3.255,1.421
ETTm2,720,Informer,3.909,1.543
ETTm2,Avg,Informer,3.370,1.440
ETTm2,96,Reformer,4.195,1.628
ETTm2,192,Reformer,4.042,1.601
ETTm2,336,Reformer,3.963,1.585
ETTm2,720,Reformer,3.711,1.532
ETTm2,Avg,Reformer,3.978,1.587
Weather,96,RDTU,0.159,0.209
Weather,192,RDTU,0.199,0.244
Weather,336,RDTU,0.257,0.292
Weather,720,RDTU,0.311,0.335
Weather,Avg,RDTU,0.232,0.270
Weather,96,Time-LLM,0.161,0.210
Weather,192,Time-LLM,0.204,0.248
Weather,336,Time-LLM,0.261,0.302
Weather,720,Time-LLM,0.309,0.332
Weather,Avg,Time-LLM,0.234,0.273
Weather,96,GPT4TS,0.163,0.215
Weather,192,GPT4TS,0.210,0.254
Weather,336,GPT4TS,0.256,0.292
Weather,720,GPT4TS,0.321,0.339
Weather,Avg,GPT4TS,0.238,0.275
Weather,96,DLinear,0.171,0.224
Weather,192,DLinear,0.215,0.263
Weather,336,DLinear,0.258,0.299
Weather,720,DLinear,0.320,0.346
Weather,Avg,DLinear,0.241,0.283
Weather,96,PatchTST,0.165,0.215
Weather,192,PatchTST,0.210,0.257
Weather,336,PatchTST,0.259,0.297
Weather,720,PatchTST,0.332,0.346
Weather,Avg,PatchTST,0.242,0.279
