Dataset,Horizon,Model,MSE,MAE
ETTh2 → ETTh1,720,PatchTST,0.628,0.561
ETTh2 → ETTh1,Avg,PatchTST,0.565,0.513
ETTh2 → ETTh1,96,TimesNet,0.848,0.601
ETTh2 → ETTh1,192,TimesNet,0.860,0.610
ETTh2 → ETTh1,336,TimesNet,0.867,0.626
ETTh2 → ETTh1,720,TimesNet,0.887,0.648
ETTh2 → ETTh1,Avg,TimesNet,0.865,0.621
ETTh2 → ETTh1,96,Autoformer,0.693,0.569
ETTh2 → ETTh1,192,Autoformer,0.760,0.601
ETTh2 → ETTh1,336,Autoformer,0.781,0.619
ETTh2 → ETTh1,720,Autoformer,0.796,0.644
ETTh2 → ETTh1,Avg,Autoformer,0.757,0.608
ETTh2 → ETTm2,96,RDTU,0.169,0.269
ETTh2 → ETTm2,192,RDTU,0.228,0.307
ETTh2 → ETTm2,336,RDTU,0.288,0.330
ETTh2 → ETTm2,720,RDTU,0.387,0.411
ETTh2 → ETTm2,Avg,RDTU,0.268,0.329
ETTh2 → ETTm2,96,Time-LLM,0.174,0.276
ETTh2 → ETTm2,192,Time-LLM,0.233,0.315
ETTh2 → ETTm2,336,Time-LLM,0.291,0.337
ETTh2 → ETTm2,720,Time-LLM,0.392,0.417
ETTh2 → ETTm2,Avg,Time-LLM,0.272,0.341
ETTh2 → ETTm2,96,LLMTime,0.646,0.563
ETTh2 → ETTm2,192,LLMTime,0.934,0.654
ETTh2 → ETTm2,336,LLMTime,1.157,0.728
ETTh2 → ETTm2,720,LLMTime,4.730,1.531
ETTh2 → ETTm2,Avg,LLMTime,1.867,0.869
ETTh2 → ETTm2,96,GPT4TS,0.253,0.329
ETTh2 → ETTm2,192,GPT4TS,0.293,0.346
ETTh2 → ETTm2,336,GPT4TS,0.347,0.376
ETTh2 → ETTm2,720,GPT4TS,0.446,0.429
ETTh2 → ETTm2,Avg,GPT4TS,0.335,0.370
ETTh2 → ETTm2,96,DLinear,0.240,0.336
ETTh2 → ETTm2,192,DLinear,0.295,0.369
ETTh2 → ETTm2,336,DLinear,0.345,0.397
ETTh2 → ETTm2,720,DLinear,0.432,0.442
ETTh2 → ETTm2,Avg,DLinear,0.328,0.386
ETTh2 → ETTm2,96,PatchTST,0.226,0.309
ETTh2 → ETTm2,192,PatchTST,0.289,0.345
ETTh2 → ETTm2,336,PatchTST,0.348,0.379
ETTh2 → ETTm2,720,PatchTST,0.439,0.427
ETTh2 → ETTm2,Avg,PatchTST,0.325,0.365
ETTh2 → ETTm2,96,TimesNet,0.248,0.324
ETTh2 → ETTm2,192,TimesNet,0.296,0.352
ETTh2 → ETTm2,336,TimesNet,0.353,0.383
ETTh2 → ETTm2,720,TimesNet,0.471,0.446
ETTh2 → ETTm2,Avg,TimesNet,0.342,0.376
ETTh2 → ETTm2,96,Autoformer,0.263,0.352
ETTh2 → ETTm2,192,Autoformer,0.326,0.389
ETTh2 → ETTm2,336,Autoformer,0.387,0.426
ETTh2 → ETTm2,720,Autoformer,0.487,0.478
ETTh2 → ETTm2,Avg,Autoformer,0.366,0.411
ETTm1 → ETTh2,96,RDTU,0.319,0.363
ETTm1 → ETTh2,192,RDTU,0.383,0.406
ETTm1 → ETTh2,336,RDTU,0.401,0.428
ETTm1 → ETTh2,720,RDTU,0.407,0.433
ETTm1 → ETTh2,Avg,RDTU,0.378,0.408
ETTm1 → ETTh2,96,Time-LLM,0.321,0.369
ETTm1 → ETTh2,192,Time-LLM,0.389,0.410
ETTm1 → ETTh2,336,Time-LLM,0.408,0.433
ETTm1 → ETTh2,720,Time-LLM,0.406,0.436
ETTm1 → ETTh2,Avg,Time-LLM,0.381,0.412
ETTm1 → ETTh2,96,LLMTime,0.510,0.576
ETTm1 → ETTh2,192,LLMTime,0.523,0.586
ETTm1 → ETTh2,336,LLMTime,0.640,0.637
ETTm1 → ETTh2,720,LLMTime,2.296,1.034
ETTm1 → ETTh2,Avg,LLMTime,0.992,0.708
ETTm1 → ETTh2,96,GPT4TS,0.353,0.392
ETTm1 → ETTh2,192,GPT4TS,0.443,0.437
ETTm1 → ETTh2,336,GPT4TS,0.469,0.461
ETTm1 → ETTh2,720,GPT4TS,0.466,0.468
ETTm1 → ETTh2,Avg,GPT4TS,0.433,0.439
ETTm1 → ETTh2,96,DLinear,0.365,0.415
ETTm1 → ETTh2,192,DLinear,0.454,0.462
ETTm1 → ETTh2,336,DLinear,0.496,0.494
ETTm1 → ETTh2,720,DLinear,0.541,0.529
ETTm1 → ETTh2,Avg,DLinear,0.464,0.475
ETTm1 → ETTh2,96,PatchTST,0.354,0.385
ETTm1 → ETTh2,192,PatchTST,0.447,0.434
ETTm1 → ETTh2,336,PatchTST,0.481,0.463
ETTm1 → ETTh2,720,PatchTST,0.474,0.471
ETTm1 → ETTh2,Avg,PatchTST,0.439,0.438
ETTm1 → ETTh2,96,TimesNet,0.377,0.407
ETTm1 → ETTh2,192,TimesNet,0.471,0.453
ETTm1 → ETTh2,336,TimesNet,0.472,0.484
ETTm1 → ETTh2,720,TimesNet,0.495,0.482
ETTm1 → ETTh2,Avg,TimesNet,0.457,0.454
ETTm1 → ETTh2,96,Autoformer,0.435,0.470
ETTm1 → ETTh2,192,Autoformer,0.495,0.489
ETTm1 → ETTh2,336,Autoformer,0.470,0.472
ETTm1 → ETTh2,720,Autoformer,0.480,0.485
ETTm1 → ETTh2,Avg,Autoformer,0.470,0.479
ETTm1 → ETTm2,96,RDTU,0.165,0.254
ETTm1 → ETTm2,192,RDTU,0.225,0.315
ETTm1 → ETTm2,336,RDTU,0.282,0.334
ETTm1 → ETTm2,720,RDTU,0.372,0.362
ETTm1 → ETTm2,Avg,RDTU,0.261,0.316
ETTm1 → ETTm2,96,Time-LLM,0.169,0.257
ETTm1 → ETTm2,192,Time-LLM,0.227,0.318
ETTm1 → ETTm2,336,Time-LLM,0.290,0.338
ETTm1 → ETTm2,720,Time-LLM,0.375,0.367
ETTm1 → ETTm2,Avg,Time-LLM,0.268,0.320
ETTm1 → ETTm2,96,LLMTime,0.646,0.563
ETTm1 → ETTm2,192,LLMTime,0.934,0.654
ETTm1 → ETTm2,336,LLMTime,1.157,0.728
ETTm1 → ETTm2,720,LLMTime,4.730,1.531
ETTm1 → ETTm2,Avg,LLMTime,1.867,0.869
ETTm1 → ETTm2,96,GPT4TS,0.217,0.294
ETTm1 → ETTm2,192,GPT4TS,0.277,0.327
