Dataset,Horizon,Model,MSE,MAE
ETTm1,720,DLinear,0.511,0.489
ETTm1,Avg,DLinear,0.400,0.417
ETTm1,96,PatchTST,0.399,0.414
ETTm1,192,PatchTST,0.441,0.436
ETTm1,336,PatchTST,0.499,0.467
ETTm1,720,PatchTST,0.767,0.587
ETTm1,Avg,PatchTST,0.526,0.476
ETTm1,96,TimesNet,0.606,0.518
ETTm1,192,TimesNet,0.681,0.539
ETTm1,336,TimesNet,0.786,0.597
ETTm1,720,TimesNet,0.796,0.593
ETTm1,Avg,TimesNet,0.717,0.561
ETTm1,96,FEDformer,0.628,0.544
ETTm1,192,FEDformer,0.666,0.566
ETTm1,336,FEDformer,0.807,0.628
ETTm1,720,FEDformer,0.822,0.633
ETTm1,Avg,FEDformer,0.730,0.592
ETTm1,96,Autoformer,0.726,0.578
ETTm1,192,Autoformer,0.750,0.591
ETTm1,336,Autoformer,0.851,0.659
ETTm1,720,Autoformer,0.857,0.655
ETTm1,Avg,Autoformer,0.796,0.620
ETTm1,96,Stationary,0.823,0.587
ETTm1,192,Stationary,0.844,0.591
ETTm1,336,Stationary,0.870,0.603
ETTm1,720,Stationary,0.893,0.611
ETTm1,Avg,Stationary,0.857,0.598
ETTm1,96,ETSformer,1.031,0.747
ETTm1,192,ETSformer,1.087,0.766
ETTm1,336,ETSformer,1.138,0.787
ETTm1,720,ETSformer,1.245,0.831
ETTm1,Avg,ETSformer,1.125,0.782
ETTm1,96,LightTS,1.048,0.733
ETTm1,192,LightTS,1.097,0.756
ETTm1,336,LightTS,1.147,0.775
ETTm1,720,LightTS,1.200,0.799
ETTm1,Avg,LightTS,1.123,0.765
ETTm1,96,Informer,1.130,0.775
ETTm1,192,Informer,1.150,0.788
ETTm1,336,Informer,1.198,0.809
ETTm1,720,Informer,1.175,0.794
ETTm1,Avg,Informer,1.163,0.791
ETTm1,96,Reformer,1.234,0.798
ETTm1,192,Reformer,1.287,0.839
ETTm1,336,Reformer,1.288,0.842
ETTm1,720,Reformer,1.247,0.828
ETTm1,Avg,Reformer,1.264,0.826
ETTm2,96,RDTU,0.176,0.260
ETTm2,192,RDTU,0.213,0.286
ETTm2,336,RDTU,0.271,0.327
ETTm2,720,RDTU,0.436,0.415
ETTm2,Avg,RDTU,0.274,0.322
ETTm2,96,Time-LLM,0.174,0.261
ETTm2,192,Time-LLM,0.215,0.287
ETTm2,336,Time-LLM,0.273,0.330
ETTm2,720,Time-LLM,0.433,0.412
ETTm2,Avg,Time-LLM,0.274,0.323
ETTm2,96,GPT4TS,0.199,0.280
ETTm2,192,GPT4TS,0.256,0.316
ETTm2,336,GPT4TS,0.318,0.353
ETTm2,720,GPT4TS,0.460,0.436
ETTm2,Avg,GPT4TS,0.308,0.346
ETTm2,96,DLinear,0.236,0.326
ETTm2,192,DLinear,0.306,0.373
ETTm2,336,DLinear,0.380,0.423
ETTm2,720,DLinear,0.674,0.583
ETTm2,Avg,DLinear,0.399,0.426
ETTm2,96,PatchTST,0.206,0.288
ETTm2,192,PatchTST,0.264,0.324
ETTm2,336,PatchTST,0.334,0.367
ETTm2,720,PatchTST,0.454,0.432
ETTm2,Avg,PatchTST,0.314,0.352
ETTm2,96,TimesNet,0.220,0.299
ETTm2,192,TimesNet,0.311,0.361
ETTm2,336,TimesNet,0.338,0.366
ETTm2,720,TimesNet,0.509,0.465
ETTm2,Avg,TimesNet,0.344,0.372
ETTm2,96,FEDformer,0.229,0.320
ETTm2,192,FEDformer,0.394,0.361
ETTm2,336,FEDformer,0.378,0.427
ETTm2,720,FEDformer,0.523,0.510
ETTm2,Avg,FEDformer,0.381,0.404
ETTm2,96,Autoformer,0.232,0.322
ETTm2,192,Autoformer,0.291,0.357
ETTm2,336,Autoformer,0.478,0.517
ETTm2,720,Autoformer,0.553,0.538
ETTm2,Avg,Autoformer,0.388,0.433
ETTm2,96,Stationary,0.238,0.316
ETTm2,192,Stationary,0.298,0.349
ETTm2,336,Stationary,0.353,0.380
ETTm2,720,Stationary,0.475,0.445
ETTm2,Avg,Stationary,0.341,0.372
ETTm2,96,ETSformer,0.404,0.485
ETTm2,192,ETSformer,0.479,0.521
ETTm2,336,ETSformer,0.552,0.555
ETTm2,720,ETSformer,0.701,0.627
ETTm2,Avg,ETSformer,0.534,0.547
ETTm2,96,LightTS,1.108,0.772
ETTm2,192,LightTS,1.317,0.850
ETTm2,336,LightTS,1.415,0.879
ETTm2,720,LightTS,1.822,0.984
ETTm2,Avg,LightTS,1.415,0.871
ETTm2,96,Informer,3.599,1.478
ETTm2,192,Informer,3.578,1.475
ETTm2,336,Informer,3.561,1.473
ETTm2,720,Informer,3.896,1.533
ETTm2,Avg,Informer,3.658,1.489
ETTm2,96,Reformer,3.883,1.545
ETTm2,192,Reformer,3.553,1.484
ETTm2,336,Reformer,3.446,1.460
ETTm2,720,Reformer,3.445,1.460
ETTm2,Avg,Reformer,3.581,1.487
Weather,96,RDTU,0.168,0.220
Weather,192,RDTU,0.220,0.267
Weather,336,RDTU,0.278,0.317
Weather,720,RDTU,0.367,0.384
Weather,Avg,RDTU,0.258,0.297
Weather,96,Time-LLM,0.172,0.263
Weather,192,Time-LLM,0.224,0.271
Weather,336,Time-LLM,0.282,0.321
Weather,720,Time-LLM,0.366,0.381
Weather,Avg,Time-LLM,0.260,0.309
Weather,96,GPT4TS,0.175,0.230
Weather,192,GPT4TS,0.227,0.276
Weather,336,GPT4TS,0.286,0.322
Weather,720,GPT4TS,0.366,0.379
Weather,Avg,GPT4TS,0.263,0.301
Weather,96,DLinear,0.184,0.242
Weather,192,DLinear,0.228,0.283
Weather,336,DLinear,0.279,0.322
Weather,720,DLinear,0.364,0.388
Weather,Avg,DLinear,0.263,0.308
Weather,96,PatchTST,0.171,0.224
Weather,192,PatchTST,0.230,0.277
Weather,336,PatchTST,0.294,0.326
Weather,720,PatchTST,0.384,0.387
Weather,Avg,PatchTST,0.269,0.303
Weather,96,TimesNet,0.207,0.253
Weather,192,TimesNet,0.272,0.307
Weather,336,TimesNet,0.313,0.328
Weather,720,TimesNet,0.400,0.385
Weather,Avg,TimesNet,0.298,0.318
Weather,96,FEDformer,0.229,0.309
Weather,192,FEDformer,0.265,0.317
Weather,336,FEDformer,0.353,0.392
Weather,720,FEDformer,0.391,0.394
Weather,Avg,FEDformer,0.309,0.353
Weather,96,Autoformer,0.227,0.299
Weather,192,Autoformer,0.278,0.333
Weather,336,Autoformer,0.351,0.393
Weather,720,Autoformer,0.387,0.389
Weather,Avg,Autoformer,0.310,0.353
Weather,96,Stationary,0.215,0.252
Weather,192,Stationary,0.290,0.307
Weather,336,Stationary,0.353,0.348
Weather,720,Stationary,0.452,0.407
Weather,Avg,Stationary,0.327,0.328
Weather,96,ETSformer,0.218,0.295
Weather,192,ETSformer,0.294,0.331
Weather,336,ETSformer,0.359,0.398
Weather,720,ETSformer,0.461,0.461
Weather,Avg,ETSformer,0.333,0.371
Weather,96,LightTS,0.230,0.285
Weather,192,LightTS,0.274,0.323
Weather,336,LightTS,0.318,0.355
Weather,720,LightTS,0.401,0.418
Weather,Avg,LightTS,0.305,0.345
Weather,96,Informer,0.497,0.497
Weather,192,Informer,0.620,0.545
Weather,336,Informer,0.649,0.547
Weather,720,Informer,0.570,0.522
Weather,Avg,Informer,0.584,0.527
Weather,96,Reformer,0.406,0.435
Weather,192,Reformer,0.446,0.450
Weather,336,Reformer,0.465,0.459
Weather,720,Reformer,0.471,0.468
Weather,Avg,Reformer,0.447,0.453
Electricity,96,RDTU,0.143,0.238
Electricity,192,RDTU,0.155,0.240
Electricity,336,RDTU,0.174,0.273
Electricity,720,RDTU,0.220,0.308
Electricity,Avg,RDTU,0.173,0.265
Electricity,96,Time-LLM,0.147,0.242
Electricity,192,Time-LLM,0.158,0.241
Electricity,336,Time-LLM,0.178,0.277
Electricity,720,Time-LLM,0.224,0.312
Electricity,Avg,Time-LLM,0.179,0.268
Electricity,96,GPT4TS,0.143,0.241
Electricity,192,GPT4TS,0.159,0.255
Electricity,336,GPT4TS,0.179,0.274
Electricity,720,GPT4TS,0.233,0.323
Electricity,Avg,GPT4TS,0.178,0.273
Electricity,96,DLinear,0.150,0.251
Electricity,192,DLinear,0.163,0.263
Electricity,336,DLinear,0.175,0.278
Electricity,720,DLinear,0.219,0.311
Electricity,Avg,DLinear,0.176,0.275
Electricity,96,PatchTST,0.145,0.244
Electricity,192,PatchTST,0.163,0.260
Electricity,336,PatchTST,0.183,0.281
Electricity,720,PatchTST,0.233,0.323
Electricity,Avg,PatchTST,0.181,0.277
Electricity,96,TimesNet,0.315,0.389
Electricity,192,TimesNet,0.318,0.396
Electricity,336,TimesNet,0.340,0.415
Electricity,720,TimesNet,0.635,0.613
Electricity,Avg,TimesNet,0.402,0.453
Electricity,96,FEDformer,0.235,0.322
Electricity,192,FEDformer,0.247,0.341
Electricity,336,FEDformer,0.267,0.356
Electricity,720,FEDformer,0.318,0.394
Electricity,Avg,FEDformer,0.266,0.353
Electricity,96,Autoformer,0.297,0.367
Electricity,192,Autoformer,0.308,0.375
Electricity,336,Autoformer,0.354,0.411
Electricity,720,Autoformer,0.426,0.466
Electricity,Avg,Autoformer,0.346,0.404
Electricity,96,Stationary,0.484,0.518
Electricity,192,Stationary,0.501,0.531
Electricity,336,Stationary,0.574,0.578
Electricity,720,Stationary,0.952,0.786
Electricity,Avg,Stationary,0.627,0.603
Electricity,96,ETSformer,0.697,0.638
Electricity,192,ETSformer,0.718,0.648
Electricity,336,ETSformer,0.758,0.667
Electricity,720,ETSformer,1.028,0.788
Electricity,Avg,ETSformer,0.800,0.685
Electricity,96,LightTS,0.639,0.609
Electricity,192,LightTS,0.772,0.678
Electricity,336,LightTS,0.901,0.745
Electricity,720,LightTS,1.200,0.871
Electricity,Avg,LightTS,0.878,0.725
Electricity,96,Informer,1.265,0.919
Electricity,192,Informer,1.298,0.939
Electricity,336,Informer,1.302,0.942
Electricity,720,Informer,1.259,0.919
Electricity,Avg,Informer,1.281,0.929
Electricity,96,Reformer,1.414,0.855
Electricity,192,Reformer,1.240,0.919
Electricity,336,Reformer,1.253,0.921
Electricity,720,Reformer,1.249,0.921
Electricity,Avg,Reformer,1.289,0.904
Traffic,96,RDTU,0.410,0.287
Traffic,192,RDTU,0.415,0.290
Traffic,336,RDTU,0.439,0.316
Traffic,720,RDTU,-,-
Traffic,Avg,RDTU,0.421,0.298
Traffic,96,Time-LLM,0.414,0.291
Traffic,192,Time-LLM,0.419,0.291
Traffic,336,Time-LLM,0.437,0.314
Traffic,720,Time-LLM,-,-
Traffic,Avg,Time-LLM,0.423,0.298
Traffic,96,GPT4TS,0.419,0.298
Traffic,192,GPT4TS,0.434,0.305
Traffic,336,GPT4TS,0.449,0.313
Traffic,720,GPT4TS,-,-
Traffic,Avg,GPT4TS,0.434,0.305
Traffic,96,DLinear,0.427,0.304
Traffic,192,DLinear,0.447,0.315
Traffic,336,DLinear,0.478,0.333
Traffic,720,DLinear,-,-
Traffic,Avg,DLinear,0.450,0.317
Traffic,96,PatchTST,0.404,0.286
Traffic,192,PatchTST,0.412,0.294
Traffic,336,PatchTST,0.439,0.310
Traffic,720,PatchTST,-,-
Traffic,Avg,PatchTST,0.418,0.296
Traffic,96,TimesNet,0.854,0.492
Traffic,192,TimesNet,0.894,0.517
Traffic,336,TimesNet,0.853,0.471
Traffic,720,TimesNet,-,-
Traffic,Avg,TimesNet,0.867,0.493
Traffic,96,FEDformer,0.670,0.421
Traffic,192,FEDformer,0.653,0.405
Traffic,336,FEDformer,0.707,0.445
Traffic,720,FEDformer,-,-
Traffic,Avg,FEDformer,0.676,0.423
Traffic,96,Autoformer,0.795,0.481
Traffic,192,Autoformer,0.837,0.503
Traffic,336,Autoformer,0.867,0.523
Traffic,720,Autoformer,-,-
Traffic,Avg,Autoformer,0.833,0.502
Traffic,96,Stationary,1.468,0.821
Traffic,192,Stationary,1.509,0.838
Traffic,336,Stationary,1.602,0.860
Traffic,720,Stationary,-,-
Traffic,Avg,Stationary,1.526,0.839
Traffic,96,ETSformer,1.643,0.855
Traffic,192,ETSformer,1.856,0.928
Traffic,336,ETSformer,2.080,0.999
Traffic,720,ETSformer,-,-
Traffic,Avg,ETSformer,1.859,0.927
Traffic,96,LightTS,1.157,0.636
Traffic,192,LightTS,1.688,0.848
Traffic,336,LightTS,1.826,0.903
Traffic,720,LightTS,-,-
Traffic,Avg,LightTS,1.557,0.795
Traffic,96,Informer,1.557,0.821
Traffic,192,Informer,1.596,0.834
Traffic,336,Informer,1.621,0.841
Traffic,720,Informer,-,-
Traffic,Avg,Informer,1.591,0.832
Traffic,96,Reformer,1.586,0.841
Traffic,192,Reformer,1.602,0.844
Traffic,336,Reformer,1.668,0.868
Traffic,720,Reformer,-,-
Traffic,Avg,Reformer,1.618,0.851
